epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,561.592,1.11235,1.50579,1.45742,0.00227,0.94414,0.85655,0.8614,0.94145,0.75928,0.84549,0.85206,0.92633,0.62786,0.66004,0.72996,1.83052,0.00592,0,0.000665182,0.000665182,0.000665182
2,946.076,1.04173,1.33246,0.68109,0.00215,0.20463,0.90718,0.90171,0.96562,0.79149,0.89829,0.89288,0.95238,0.6291,0.71181,0.62812,0.84147,0.00771,0,0.00131866,0.00131866,0.00131866
3,1498.22,1.02828,1.26163,0.53621,0.00214,0.19247,0.91988,0.93196,0.97064,0.80898,0.91667,0.9122,0.95499,0.66724,0.60078,0.61684,0.4556,0.00564,0,0.00195894,0.00195894,0.00195894
4,1865.72,1.01511,1.26929,0.47585,0.0021,0.17612,0.92135,0.93143,0.96918,0.79201,0.90927,0.91866,0.95399,0.63646,0.70123,0.58349,0.45963,0.00681,0,0.0019406,0.0019406,0.0019406
5,2419.34,0.98969,1.19093,0.43988,0.00201,0.18335,0.92866,0.9416,0.97602,0.81575,0.92319,0.9358,0.96525,0.66481,0.59202,0.65392,0.33941,0.00567,0,0.0019208,0.0019208,0.0019208
6,3012.2,0.98581,1.19121,0.42453,0.00211,0.20176,0.94292,0.94147,0.97316,0.81582,0.93429,0.93043,0.96408,0.68928,0.64154,0.63428,0.40375,0.00659,0,0.001901,0.001901,0.001901
7,3810.14,0.98535,1.19431,0.40998,0.00203,0.17029,0.9472,0.93926,0.97798,0.82872,0.93662,0.92877,0.96465,0.66803,0.57357,0.55219,0.29098,0.00554,0,0.0018812,0.0018812,0.0018812
8,4501.6,0.97766,1.16989,0.39236,0.00195,0.1581,0.94681,0.95337,0.97777,0.83694,0.93756,0.94525,0.96568,0.68597,0.52768,0.57208,0.28073,0.00456,0,0.0018614,0.0018614,0.0018614
9,5307.5,0.93902,1.12818,0.37858,0.00188,0.14344,0.95515,0.94147,0.97687,0.83841,0.94577,0.93319,0.97022,0.67634,0.54243,0.55705,0.28802,0.00487,0,0.0018416,0.0018416,0.0018416
10,6104.84,0.9529,1.14341,0.37248,0.00191,0.17047,0.95047,0.96429,0.97766,0.84302,0.93743,0.9514,0.9635,0.67225,0.5053,0.67976,0.28098,0.00451,0,0.0018218,0.0018218,0.0018218
11,6606.7,0.94971,1.13364,0.37165,0.00191,0.16178,0.96392,0.95894,0.9786,0.86238,0.95914,0.95086,0.97455,0.71583,0.43389,0.49955,0.253,0.00354,0,0.001802,0.001802,0.001802
12,7333.8,0.90631,1.06963,0.34789,0.00184,0.15268,0.95365,0.96561,0.98026,0.84452,0.94162,0.95299,0.96663,0.69822,0.59087,0.55244,0.2897,0.0065,0,0.0017822,0.0017822,0.0017822
13,8050.39,0.91641,1.07291,0.3441,0.00183,0.14233,0.96387,0.95306,0.98076,0.84889,0.95832,0.94257,0.96815,0.69481,0.51683,0.53607,0.25017,0.0046,0,0.0017624,0.0017624,0.0017624
14,8670.26,0.92675,1.09966,0.34634,0.00181,0.14953,0.96052,0.96466,0.98094,0.8653,0.95265,0.95541,0.96849,0.71114,0.44149,0.61319,0.2384,0.00362,0,0.0017426,0.0017426,0.0017426
15,8996.11,0.92061,1.07876,0.34389,0.00182,0.14275,0.94868,0.96971,0.97945,0.86896,0.94082,0.95683,0.96594,0.70302,0.43186,0.56943,0.27196,0.00355,0,0.0017228,0.0017228,0.0017228
16,9371,0.91193,1.07151,0.33782,0.00178,0.13955,0.95699,0.96632,0.98155,0.86243,0.94655,0.95583,0.96937,0.687,0.41358,0.57107,0.21079,0.00286,0,0.001703,0.001703,0.001703
17,9823.31,0.92088,1.06559,0.33934,0.00183,0.14261,0.95133,0.97145,0.98117,0.842,0.94161,0.96169,0.96851,0.67914,0.4383,0.49558,0.21372,0.00288,0,0.0016832,0.0016832,0.0016832
18,10150.7,0.89337,1.03629,0.32336,0.00176,0.14257,0.9601,0.96994,0.98242,0.87202,0.95077,0.9597,0.97642,0.69771,0.44891,0.62233,0.19986,0.004,0,0.0016634,0.0016634,0.0016634
19,10638,0.90038,1.04589,0.32834,0.00181,0.13607,0.96063,0.97018,0.98195,0.87103,0.95203,0.9619,0.96982,0.70302,0.39928,0.55806,0.20167,0.00307,0,0.0016436,0.0016436,0.0016436
20,11055.3,0.90029,1.04798,0.33065,0.00174,0.1468,0.9639,0.97307,0.98314,0.86651,0.95352,0.96279,0.97139,0.71176,0.44714,0.5201,0.22068,0.00378,0,0.0016238,0.0016238,0.0016238
21,11436.9,0.91263,1.07261,0.3315,0.00177,0.15453,0.96759,0.96742,0.9815,0.86271,0.95931,0.95914,0.97739,0.71381,0.48541,0.54758,0.2294,0.00438,0,0.001604,0.001604,0.001604
22,11948.8,0.90387,1.05192,0.32706,0.00177,0.1469,0.96073,0.97254,0.98261,0.88437,0.95254,0.96425,0.97019,0.69519,0.38043,0.56741,0.18709,0.00286,0,0.0015842,0.0015842,0.0015842
23,12432.3,0.8766,1.02032,0.31337,0.00173,0.13094,0.96758,0.97221,0.98397,0.87777,0.95928,0.96576,0.97239,0.69917,0.3703,0.51416,0.19507,0.00265,0,0.0015644,0.0015644,0.0015644
24,12813.6,0.88821,1.03911,0.32233,0.00171,0.15088,0.95913,0.97681,0.98176,0.86697,0.95385,0.96356,0.97034,0.68722,0.4411,0.54045,0.21751,0.0039,0,0.0015446,0.0015446,0.0015446
25,13216.5,0.88475,1.03173,0.31655,0.00172,0.13598,0.96644,0.96988,0.98274,0.87891,0.95928,0.9627,0.97079,0.71235,0.41107,0.50388,0.18921,0.00336,0,0.0015248,0.0015248,0.0015248
26,13689.8,0.87889,1.0123,0.3109,0.00173,0.13733,0.95717,0.97495,0.97955,0.87319,0.94644,0.95969,0.96653,0.69227,0.43454,0.49497,0.24201,0.00383,0,0.001505,0.001505,0.001505
27,14168.3,0.87157,1.00074,0.31494,0.00173,0.14086,0.96732,0.97681,0.98395,0.86908,0.95693,0.96911,0.97892,0.70064,0.44548,0.54119,0.22251,0.00362,0,0.0014852,0.0014852,0.0014852
28,14493,0.87784,1.02758,0.30954,0.00169,0.12925,0.96983,0.97617,0.98265,0.86844,0.96324,0.96954,0.97767,0.69814,0.39561,0.53754,0.18781,0.00287,0,0.0014654,0.0014654,0.0014654
29,14933.9,0.88495,1.01851,0.31341,0.00169,0.14015,0.96367,0.98145,0.98237,0.87569,0.95798,0.9746,0.97913,0.73464,0.39883,0.51921,0.18255,0.00292,0,0.0014456,0.0014456,0.0014456
30,15320.6,0.87726,1.00947,0.31131,0.00169,0.13513,0.96703,0.97902,0.98332,0.86968,0.95776,0.96963,0.97064,0.69576,0.40519,0.52143,0.20252,0.00287,0,0.0014258,0.0014258,0.0014258
31,15759.1,0.84511,0.99606,0.30203,0.00166,0.13695,0.97137,0.97423,0.98312,0.89033,0.95824,0.9735,0.97087,0.71168,0.35906,0.51993,0.1491,0.00254,0,0.001406,0.001406,0.001406
32,16200.9,0.85667,0.98565,0.30015,0.00167,0.12996,0.96087,0.97626,0.9807,0.8868,0.95481,0.96841,0.97004,0.72867,0.33773,0.74548,0.19894,0.00213,0,0.0013862,0.0013862,0.0013862
33,16578.5,0.85698,0.99085,0.2975,0.00166,0.13706,0.9695,0.97902,0.983,0.88328,0.96427,0.96869,0.97132,0.68619,0.36958,0.52604,0.17938,0.00256,0,0.0013664,0.0013664,0.0013664
34,17048.7,0.85385,0.99231,0.30093,0.00164,0.13898,0.96854,0.97736,0.98391,0.89189,0.96143,0.97018,0.97282,0.71469,0.37554,0.49971,0.18068,0.00308,0,0.0013466,0.0013466,0.0013466
35,17490.9,0.86457,0.99903,0.29926,0.00165,0.13638,0.96723,0.97846,0.98408,0.89424,0.96286,0.97405,0.98291,0.716,0.35485,0.5323,0.17106,0.00264,0,0.0013268,0.0013268,0.0013268
